type,date,duration
Hiking,2022-07-23 14:07:20-08:00,75.59092246691385
Hiking,2022-08-28 08:29:43-08:00,19.66908091505369
Running,2022-08-29 17:11:29-08:00,16.64908086657524
CardioDance,2022-08-31 17:01:34-08:00,66.9161276658376
Hiking,2022-10-16 06:58:48-08:00,24.50196733276049
Hiking,2022-10-16 08:04:52-08:00,17.59541311661402
Running,2022-10-31 12:05:41-08:00,1.21494083404541
Running,2023-02-08 18:46:30-08:00,2.487593048810959
Running,2023-02-10 09:24:34-08:00,3.200038649638494
Running,2023-03-10 18:27:43-08:00,3.919917982816696
Running,2023-03-13 18:43:31-08:00,16.44016217589378
Running,2023-03-27 18:43:28-08:00,48.59996164242427
Running,2023-05-01 03:18:53-08:00,5.813005918264389
Running,2023-05-07 13:27:32-08:00,26.91254738370577
Running,2023-05-18 00:52:05-08:00,24.69202903310458
Running,2023-05-29 11:06:54-08:00,21.02645009954771
Running,2023-06-05 12:44:26-08:00,25.40294954975446
Running,2023-06-07 12:07:10-08:00,31.7336489657561
CardioDance,2023-06-11 08:49:56-08:00,57.46491473317146
Running,2023-06-13 10:43:00-08:00,37.48894382317861
Running,2023-06-14 11:49:29-08:00,36.60760934948921
Running,2023-06-16 12:37:22-08:00,36.07713366746903
Running,2023-08-20 08:45:01-08:00,21.41507693330447
Rowing,2023-08-30 12:12:32-08:00,3.890470699469248
Rowing,2023-09-04 11:35:25-08:00,20.85270725091299
Rowing,2023-09-13 10:16:00-08:00,4.668523216247559
Running,2023-10-07 00:01:38-08:00,17.12087308168411
Running,2023-10-17 12:39:06-08:00,6.042253466447194
Running,2023-10-18 01:37:20-08:00,8.042410616079966
Running,2023-11-08 10:15:02-08:00,45.55497721632322
Running,2023-11-11 07:51:00-08:00,27.18026666243871
Running,2023-11-11 07:51:57-08:00,35.09920938213666
Hiking,2023-11-16 08:51:47-08:00,53.38867920041084
Swimming,2023-11-16 09:46:32-08:00,1.017114599545797
Hiking,2023-11-16 10:11:30-08:00,15.07716163198153
Swimming,2023-11-16 10:27:13-08:00,34.48811021645864
Hiking,2023-11-16 11:01:53-08:00,53.4337383667628
Running,2023-12-18 09:48:51-08:00,14.88063880006472
Rowing,2024-01-05 13:24:27-08:00,5.321756517887115
Running,2024-01-14 14:52:01-08:00,5.107794366280237
Running,2024-01-16 18:01:00-08:00,10.16127418279648
Running,2024-01-19 17:46:43-08:00,11.04636066754659
Cycling,2024-01-24 18:15:10-08:00,10.06058288415273
Running,2024-01-26 21:39:00-08:00,10.59280508160591
Running,2024-01-27 14:18:01-08:00,31.50703988472621
Running,2024-01-27 15:05:35-08:00,2.526760683457057
